"得意先","部門","製造倉庫","受注日","製造指示日","製造指示番号","品番","ｻｲｽﾞ(厚さ)","ｻｲｽﾞ(縦)","ｻｲｽﾞ(横)","ｻｲｽﾞ(高さ)","品名","色","数量","規格","製造期限","配送便","出荷日","出庫日","進捗","担当者","生地日","調達"
"イシグロ　広島★","九州工場","九州工場","2026/07/24","2026/07/24","26-J0093071-005-771","IG0000G","0.00","0.0","250.0","500.0","鉄 架台","","3","さび止め　L-50X50X6t　4階中国空調 MNB分","2026/08/04","福山通運　九州発送","2026/08/04","","塗装","樫原","2026/08/03","製造"
"かごしま電工　南★","九州工場","九州工場","2026/07/24","2026/07/24","26-J0093245-008-771","BE3030SCW","1.60","300.0","300.0","300.0","国土 PB 平 焼付","2.5Y9/1 近似色","2","ｱｰｽ  内ﾜﾆｽ","2026/08/03","佐川急便","2026/08/04","","塗装","柴﨑","2026/07/28","製造"
"かごしま電工　南★","九州工場","九州工場","2026/07/24","2026/07/24","26-J0093245-009-771","BE3535SCW","1.60","350.0","350.0","350.0","国土 PB 平 焼付","2.5Y9/1 近似色","4","ｱｰｽ  内ﾜﾆｽ","2026/08/03","佐川急便","2026/08/04","","塗装","柴﨑","2026/07/28","製造"
"かごしま電工　南★","九州工場","九州工場","2026/07/24","2026/07/24","26-J0093245-011-771","BF0000C","1.60","300.0","300.0","300.0","国土 裏BOX 焼付","2.5Y9/1 近似色","1","ｱｰｽ  内ﾜﾆｽ","2026/08/03","佐川急便","2026/08/04","","塗装","柴﨑","2026/07/28","製造"
"かごしま電工　南★","九州工場","九州工場","2026/07/24","2026/07/24","26-J0093245-012-771","BF0000C","1.60","500.0","300.0","300.0","国土 裏BOX 焼付","2.5Y9/1 近似色","1","ｱｰｽ  内ﾜﾆｽ","2026/08/03","佐川急便","2026/08/04","","塗装","柴﨑","2026/07/28","製造"
"かごしま電工　南★","九州工場","九州工場","2026/07/24","2026/07/24","26-J0093245-013-771","SE0000SCW","1.50","300.0","300.0","100.0","SUS PBﾄｸ 平 焼付","2.5Y9/1 近似色","1","ｱｰｽ 張出蓋(330x330)  内ﾜﾆｽ","2026/08/04","佐川急便","2026/08/04","","仕上","三澄","2026/07/29","製造"
"かごしま電工　南★","九州工場","九州工場","2026/07/24","2026/07/24","26-J0093245-014-771","SP0000SCW","1.50","400.0","400.0","100.0","SUS PBﾄｸ 平 焼付","2.5Y9/1 近似色","1","張出蓋(430x430)  内ﾜﾆｽ","2026/08/04","佐川急便","2026/08/04","","仕上","三澄","2026/07/29","製造"
"東芝電材　宇部★","九州工場","九州工場","2026/07/24","2026/07/24","26-J0093511-001-771","DDC0000N","2.30","1,000.0","200.0","500.0","Sﾀﾞｲﾏ ﾀﾞｸﾄｶﾊﾞｰ","","1","平蓋ｺﾞﾑP付ﾌｰﾄﾞ ｺｰｷﾝｸﾞ用折返し","2026/08/03","福山通運　九州発送","2026/08/04","","溶接","恒川","2026/08/03","製造"
"八州電気工業　倉敷★","九州工場","九州工場","2026/07/27","2026/07/27","26-J0093927-001-771","B02025SC","1.60","250.0","250.0","0.0","国土 ふた 焼付","2.5Y9/1(近似色)","3","平ふた","2026/08/04","福山通運　九州発送","2026/08/04","","切断","林(浩)","2026/07/30","製造"
"シンセイ　徳山★","九州工場","九州工場","2026/07/27","2026/07/27","26-J0093969-001-771","SP4020SN","1.50","400.0","400.0","200.0","SUS PB 平","","1","","2026/08/04","佐川急便","2026/08/04","","未着手","","2026/08/04","製造"
"日本電設資材　福岡★","九州工場","九州工場","2026/07/27","2026/07/27","26-J0093991-001-771","ZE2020X2","2.30","200.0","200.0","200.0","ZN PB 水切","","6","ｱｰｽ","2026/08/03","佐川急便","2026/08/04","","溶接","マイン","2026/07/28","製造"
"日本電設資材　福岡★","九州工場","九州工場","2026/07/27","2026/07/27","26-J0093991-002-771","ZE2020X2","2.30","200.0","200.0","200.0","ZN PB 水切","","6","ｱｰｽ","2026/08/04","佐川急便","2026/08/04","","溶接","マイン","2026/07/29","製造"
"東芝電材　佐伯★","九州工場","九州工場","2026/07/27","2026/07/27","26-J0094300-001-771","IG0000C","4.00","700.0","321.0","500.0","鉄 架台 焼付","日東工業 5Y7/1 近似色","1","L4x50 穴加工","2026/08/04","福山通運　九州発送","2026/08/04","","塗装","山口","2026/07/30","製造"
"東芝電材　佐伯★","九州工場","九州工場","2026/07/27","2026/07/27","26-J0094319-001-771","IG0000C","6.00","1,197.0","600.0","500.0","鉄 架台 焼付","日東工業 5Y7/1 近似色","1","L6x50","2026/08/04","福山通運　九州発送","2026/08/04","","塗装","山口","2026/07/30","製造"
"富士商会　大村★","九州工場","九州工場","2026/07/27","2026/07/27","26-J0094472-001-771","ZE2015X2","2.30","200.0","200.0","150.0","ZN PB 水切","","1","ｱｰｽ","2026/08/04","佐川急便","2026/08/04","","溶接","マイン","2026/07/28","製造"
"宮地電機　幡多","九州工場","九州工場","2026/07/27","2026/07/27","26-J0094738-001-771","BE1515SC","1.60","150.0","150.0","150.0","国土 PB 平 焼付","N9.5(近似色)","6","ｱｰｽ","2026/08/04","福山通運　九州発送","2026/08/04","","仕上","山口","2026/07/30","製造"
"宮地電機　幡多","九州工場","九州工場","2026/07/27","2026/07/27","26-J0094738-002-771","BE2020SC","1.60","200.0","200.0","200.0","国土 PB 平 焼付","N9.5(近似色)","4","ｱｰｽ","2026/08/03","福山通運　九州発送","2026/08/04","","塗装","三澄","","加工"
"宮地電機　幡多","九州工場","九州工場","2026/07/27","2026/07/27","26-J0094738-003-771","BE4020SC","1.60","400.0","400.0","200.0","国土 PB 平 焼付","N9.5(近似色)","2","ｱｰｽ","2026/08/03","福山通運　九州発送","2026/08/04","","塗装","三澄","2026/07/29","製造"
"佐野電機工業","九州工場","九州工場","2026/07/27","2026/07/27","26-J0094747-001-771","BE2015SC","1.60","200.0","200.0","150.0","国土 PB 平 焼付","2.5Y9/1(近似色)","6","ｱｰｽ","2026/08/04","福山通運　九州発送","2026/08/04","","未着手","","","加工"
"三共電気　本社★","九州工場","九州工場","2026/07/27","2026/07/27","26-J0094874-002-771","BD0000C","1.60","300.0","100.0","686.0","国土 ﾀﾞｸﾄ 焼付","2.5Y9/1 近似色","1","/535/413  ｱｰｽ  平蓋　ｹｰﾌﾞﾙ支持棒付　","2026/08/04","福山通運　九州発送","2026/08/04","","溶接","カイ","2026/07/30","製造"
"三共電気　本社★","九州工場","九州工場","2026/07/27","2026/07/27","26-J0094874-001-771","BD0000C","1.60","200.0","100.0","686.0","国土 ﾀﾞｸﾄ 焼付","2.5Y9/1 近似色","1","/535/413  ｱｰｽ  平蓋　ｹｰﾌﾞﾙ支持棒付　","2026/08/04","福山通運　九州発送","2026/08/04","","溶接","カイ","2026/07/30","製造"
"興陽電機　福岡西★","九州工場","九州工場","2026/07/27","2026/07/27","26-J0094957-001-771","SE0000XC","1.50","400.0","400.0","100.0","SUS PBﾄｸ 水切 焼付","2.5Y9/1 近似色","1","ｱｰｽ","2026/08/03","ヤマックス福岡","2026/08/04","","塗装","山口","2026/07/29","製造"
"那須電機商事★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0095068-001-771","ZMK0000","4.50","1,400.0","300.0","200.0","ZN 曲金物","","2","穴加工ｱﾘ","2026/08/04","福山通運　九州発送","2026/08/04","","曲げ","道上","2026/07/29","製造"
"那須電機商事★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0095068-002-771","ZPCP0000","3.20","410.0","400.0","23.2","ZN ｼﾏﾋﾟｯﾄ蓋","","1","縞鋼板 切欠･PLt6.0付","2026/08/04","福山通運　九州発送","2026/08/04","","切断","森山","2026/07/29","製造"
"興陽電機　八幡★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0095232-001-771","IIP0000C","3.20","480.0","335.0","0.0","鉄 ﾌﾟﾚｰﾄ 焼付","5Y7/1 近似色","1","開口、穴加工　ｽﾀｯﾄﾎﾞﾙﾄ溶接","2026/08/03","北九州配達","2026/08/04","","塗装","柴﨑","2026/07/29","製造"
"興陽電機　八幡★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0095232-002-771","IIP0000C","1.60","250.0","200.0","0.0","鉄 ﾌﾟﾚｰﾄ 焼付","5Y7/1 近似色","1","穴加工　ｽﾀｯﾄﾎﾞﾙﾄ溶接","2026/08/03","北九州配達","2026/08/04","","塗装","柴﨑","2026/07/29","製造"
"東芝電材　福岡西★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0095404-001-771","IIP0000C","1.60","500.0","500.0","0.0","鉄 ﾌﾟﾚｰﾄ 焼付","2.5Y9/1 近似色","2","φ6x4","2026/08/03","ヤマックス福岡","2026/08/04","","塗装","柴﨑","2026/07/29","製造"
"山電　八幡","九州工場","九州工場","2026/07/28","2026/07/28","26-J0095415-001-771","SE2010XC","1.50","200.0","200.0","100.0","SUS PB 水切 焼付","2.5Y9/1 近似色","5","ｱｰｽ","2026/08/03","北九州配達","2026/08/04","","塗装","柴﨑","","加工"
"田中商事　小倉","九州工場","九州工場","2026/07/28","2026/07/28","26-J0095738-001-771","BE3015SC","1.60","300.0","300.0","150.0","国土 PB 平 焼付","5Y7/1 近似色","1","ｱｰｽ","2026/08/03","北九州配達","2026/08/04","","塗装","柴﨑","2026/07/29","製造"
"東芝電材　川内★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0095922-001-771","SE1510XCW","1.50","150.0","150.0","100.0","SUS PB 水切 焼付","2.5Y9/1 近似色","2","ｱｰｽ 内ﾜﾆｽ","2026/08/04","佐川急便","2026/08/04","","仕上","山口","2026/07/29","製造"
"大洋電材　本社★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0096111-001-771","SE0000XC","1.50","720.0","160.0","50.0","SUS PBﾄｸ 水切 焼付","2.5Y9/1 近似色","2","ｱｰｽ位置指定","2026/08/03","北九州配達","2026/08/04","","塗装","ナム","2026/07/29","製造"
"三共電気　東★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096455-001-771","IG0000G","0.00","330.0","1,788.0","0.0","鉄 架台","","6","さび止め C75x40x5x7","2026/08/04","福山通運　九州発送","2026/08/04","","塗装","樫原","2026/08/03","製造"
"三親電材　松江★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096489-002-771","SMK0000N","3.00","500.0","50.0","50.0","SUS 曲金物","","2","穴加工ｱﾘ","2026/08/04","福山通運　九州発送","2026/08/04","","切断","森山","2026/08/04","製造"
"三親電材　松江★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096489-003-771","SKM0000N","2.00","1,280.0","1,000.0","150.0","SUS 金物","","1","","2026/08/04","福山通運　九州発送","2026/08/04","","切断","岩本","2026/08/04","製造"
"三親電材　松江★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096489-001-771","SMK0000N","3.00","300.0","50.0","50.0","SUS 曲金物","","4","穴加工ｱﾘ","2026/08/04","福山通運　九州発送","2026/08/04","","切断","森山","2026/08/04","製造"
"因幡電機　九州物流(409)★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096656-001-771","IP2015SG","1.60","200.0","200.0","150.0","鉄 PB 平","","10","さび止め","2026/08/03","ヤマックス福岡","2026/08/04","","塗装","樫原","2026/07/30","製造"
"三親電材　福山★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096666-001-771","SP6060XN","1.50","600.0","600.0","600.0","SUS PB 水切","","1","","2026/08/04","福山通運　九州発送","2026/08/04","","切断","井上(隆)","2026/08/04","製造"
"中国機材設備　本社★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096690-001-771","BE3020SC","1.60","300.0","300.0","200.0","国土 PB 平 焼付","N9.5 近似色","4","ｱｰｽ","2026/08/04","佐川急便","2026/08/04","","未着手","","","加工"
"中国機材設備　本社★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096690-002-771","BE3020SC","1.60","300.0","300.0","200.0","国土 PB 平 焼付","N9.5 近似色","4","ｱｰｽ","2026/08/04","佐川急便","2026/08/04","","未着手","","","加工"
"シンセイ　倉敷★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096816-001-771","IPA0000G","0.00","200.0","0.0","0.0","鉄 ﾎﾟｰﾙｱﾀﾞﾌﾟﾀｰ","","20","さび止め SGP50A PLt3.2","2026/08/04","福山通運　九州発送","2026/08/04","","切断","森山","2026/08/03","製造"
"岡本電機　福山★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096824-001-771","IIP0000C","1.60","415.0","330.0","0.0","鉄 ﾌﾟﾚｰﾄ 焼付","N1 近似色","1","開口有り","2026/08/04","福山通運　九州発送","2026/08/04","","切断","林(浩)","2026/07/30","製造"
"Q-mast　電気グル－プ★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096867-003-771","ITG0000G","0.00","1,500.0","2,720.0","0.0","鉄 耐震架台","","1","さび止め C100x50x5x7.5 B地区2階ﾗｯｸ架台　3","2026/08/03","ヤマックス　ｽﾎﾟｯﾄ便","2026/08/04","","塗装","樫原","2026/07/31","製造"
"Q-mast　電気グル－プ★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096867-004-771","ITG0000G","0.00","1,500.0","2,720.0","0.0","鉄 耐震架台","","1","さび止め C100x50x5x7.5 B地区2階ﾗｯｸ架台　4","2026/08/03","ヤマックス　ｽﾎﾟｯﾄ便","2026/08/04","","塗装","樫原","2026/07/31","製造"
"Q-mast　電気グル－プ★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096867-001-771","ITG0000G","0.00","1,700.0","2,720.0","0.0","鉄 耐震架台","","1","さび止め C100x50x5x7.5 B地区2階ﾗｯｸ架台　1","2026/08/03","ヤマックス　ｽﾎﾟｯﾄ便","2026/08/04","","塗装","樫原","2026/07/31","製造"
"Q-mast　電気グル－プ★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096867-002-771","ITG0000G","0.00","1,500.0","2,720.0","0.0","鉄 耐震架台","","1","さび止め C100x50x5x7.5 B地区2階ﾗｯｸ架台　2","2026/08/03","ヤマックス　ｽﾎﾟｯﾄ便","2026/08/04","","塗装","樫原","2026/07/31","製造"
"ウチダ★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096884-001-771","BE2020SC","1.60","200.0","200.0","200.0","国土 PB 平 焼付","2.5Y9/1 近似色","1","ｱｰｽ","2026/08/04","福山通運　九州発送","2026/08/04","","未着手","","","加工"
"ミューハウス　熊本★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096905-001-771","BE2020SC","1.60","200.0","200.0","200.0","国土 PB 平 焼付","2.5Y9/1 近似色","1","ｱｰｽ","2026/08/04","佐川急便","2026/08/04","","未着手","","","加工"
"三共電気　本社★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097107-001-771","IIP0000C","1.60","300.0","100.0","0.0","鉄 ﾌﾟﾚｰﾄ 焼付","2.5Y9/0.5 近似色","1","φ4x4","2026/08/03","ヤマックス福岡","2026/08/04","","塗装","増井","2026/07/30","製造"
"田中商事　小倉","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097455-001-771","SE0000XN","2.00","800.0","300.0","500.0","SUS PBﾄｸ 水切","","1","ｱｰｽ","2026/08/03","北九州配達","2026/08/04","","溶接","テイン","2026/08/03","製造"
"宮地電機　高松","九州工場","九州工場","2026/07/30","2026/07/30","26-J0097854-004-771","SP5050XN","1.50","500.0","500.0","500.0","SUS PB 水切","","1","","2026/08/04","福山通運　九州発送","2026/08/04","","切断","岩本","2026/08/04","製造"
"宮地電機　高松","九州工場","九州工場","2026/07/30","2026/07/30","26-J0097854-003-771","SP5040XN","1.50","500.0","500.0","400.0","SUS PB 水切","","1","","2026/08/04","福山通運　九州発送","2026/08/04","","切断","岩本","2026/08/04","製造"
"日本電設資材　福岡★","九州工場","九州工場","2026/07/30","2026/07/30","26-J0098079-001-771","IP0000SG","1.60","300.0","200.0","200.0","鉄 PBﾄｸ 平","","1","さび止め","2026/08/03","ヤマックス福岡","2026/08/04","","塗装","坂元","2026/07/31","製造"
"興陽電機　八幡★","九州工場","九州工場","2026/07/30","2026/07/30","26-J0098290-001-771","DP5030WN","1.60","500.0","500.0","300.0","Sﾀﾞｲﾏ PB 被せ","","2","","2026/08/03","北九州配達","2026/08/04","","曲げ","ラム","2026/08/03","製造"
"カンサイ　筑豊★","九州工場","九州工場","2026/07/31","2026/07/31","26-J0098625-001-771","I02035WG","1.60","350.0","350.0","0.0","鉄 ふた","","1","被せふた さび止め","2026/08/03","ヤマックス福岡","2026/08/04","","未着手","","2026/07/31","製造"
"東芝電材　武雄★","九州工場","九州工場","2026/07/31","2026/07/31","26-J0098632-001-771","BE5050WG","1.60","500.0","500.0","500.0","国土 PB 被せ","","1","ｱｰｽ さび止め","2026/08/04","佐川急便","2026/08/04","","未着手","","2026/08/03","製造"
"東芝電材　福岡★","九州工場","九州工場","2026/07/31","2026/07/31","26-J0098668-001-771","SE0000WN","1.50","300.0","200.0","200.0","SUS PBﾄｸ 被せ","","2","ｱｰｽ","2026/08/03","ヤマックス福岡","2026/08/04","","切断","井上(隆)","2026/08/03","製造"
"東芝電材　福岡★","九州工場","九州工場","2026/07/31","2026/07/31","26-J0098668-003-771","SE0000WN","1.50","400.0","300.0","200.0","SUS PBﾄｸ 被せ","","1","ｱｰｽ","2026/08/03","ヤマックス福岡","2026/08/04","","切断","井上(隆)","2026/08/03","製造"
"東芝電材　福岡★","九州工場","九州工場","2026/07/31","2026/07/31","26-J0098668-002-771","SE0000WN","1.50","500.0","300.0","300.0","SUS PBﾄｸ 被せ","","1","ｱｰｽ","2026/08/03","ヤマックス福岡","2026/08/04","","切断","井上(隆)","2026/08/03","製造"
"中西電機　高松本社★","九州工場","九州工場","2026/07/31","2026/07/31","26-J0098808-001-771","DE1510WN","1.60","150.0","150.0","100.0","Sﾀﾞｲﾏ PB 被せ","","1","ｱｰｽ","2026/08/04","福山通運　九州発送","2026/08/04","","切断","井上(隆)","2026/08/03","製造"
"三共電気　本社★","九州工場","九州工場","2026/07/31","2026/07/31","26-J0098870-001-771","IKS0000G","1.60","1,300.0","450.0","200.0","鉄 貫通ｽﾘｰﾌﾞ","","1","さび止め","2026/08/03","ヤマックス福岡","2026/08/04","","未着手","","2026/07/31","製造"
